8.282736020000000000e+08,3.397838450821372702e-01,1.145333920573146314e+00,1.259267597526293248e+00,2.487271200621747396e-04,8.389178411801529898e-04,8.763492092599168030e-04
8.327849142857142687e+08,5.263897001128572950e-02,1.649544283001400102e-02,8.144741101302369751e-03,4.020062911882302389e-05,1.262069202211866529e-05,5.773554741869937690e-06
8.372962285714285374e+08,1.530997579945742482e+00,5.200839260871673586e-01,9.436260838495260650e-01,1.156019485559997041e-03,3.938721780551027521e-04,6.439741134549640221e-04
8.463188571428570747e+08,8.994417743255850306e-01,7.471187038276340120e-01,6.024284255649041686e-01,6.956258629162655237e-04,5.760185222442122579e-04,4.208881000644501742e-04
8.553414857142856121e+08,6.708307668750259634e-01,1.453478068795437395e+00,1.678493996685561207e+00,5.021622713215601703e-04,1.098428474720856626e-03,1.197930522644635514e-03
8.598527999999998808e+08,2.434050447938448380e-01,1.115779023880017373e+00,1.241764093419201798e+00,1.755258938575229356e-04,8.090982627837419892e-04,8.441892950614606882e-04
8.643641142857141495e+08,1.716556808256689104e+00,1.647924775753934201e-01,2.803024266877489068e-01,1.253280938100854005e-03,1.207384799259652425e-04,1.995976137973185069e-04
8.688754285714284182e+08,1.839526113704110122e+00,4.743663809607973070e-02,5.143221521056997592e-01,1.304854482770464921e-03,3.320787221595391056e-05,3.559353448410427514e-04
8.733867428571426868e+08,2.986849191256127009e-02,6.985707778221088571e-01,6.607656369398339224e-01,2.093482122196275340e-05,4.904156429716158500e-04,5.093075586966832853e-04
8.778980571428569555e+08,4.666951087126862685e-01,1.362402147757190818e+00,1.329971403746025960e+00,3.324735830127405287e-04,9.649900323329561793e-04,9.067737851989277282e-04
8.869206857142854929e+08,1.169059022225935385e+00,8.368763989838043926e-01,1.164364257652208856e+00,8.692719796138372252e-04,6.149451090951811192e-04,8.081069395738490124e-04
8.914319999999997616e+08,3.432469776307154469e-02,9.844350940118180571e-01,9.492786679680852435e-01,2.522631941210948567e-05,6.952893176479028577e-04,6.706024615600638923e-04
