	 1                	 -nan             	 -nan             	 0.07085642585134481	 -nan             	 -nan             	 0.9999999993850659	 -nan             	 -nan             	 0.07085642520423303	 -nan             	 -nan             	 0.9999999974279716	 -nan             	 -nan             	 0.07085642468608133	 -nan             	 -nan             	 0.9999999932617172	 -nan             	 -nan             	 0.07085642435758718	 -nan             	 -nan             	 0.9999999882009233	 -nan             	 -nan             	 0.07085642400682467	 -nan             	 -nan             	 -0.999999987780702	 -nan             	 -nan             	 -0.07085642938146598	 -nan             	 -nan             	 -3.135830073334795e-05	 3.241804252777709e-05	 4.234489541664246e-05	 -4.146016892001654e-05	 4.549097161146441e-05	 -3.554422225639922e-05	 1.694179996310094e-05	 -5.007405188470256e-05	 2.12405805703368e-05	 3.589906953554867e-06	 -8.83186147347038e-06	 5.405788659516155e-06	 1.3604602621081e-05	 -1.878415875355438e-05	 -3.753590186524297e-05	 -2.895577440559751e-05	 6.736329939812349e-06
	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             
	 0.9999999960439661	 -nan             	 -nan             	 0.0708564262710631	 -nan             	 -nan             	 0.9999999983980608	 -nan             	 -nan             	 0.07085642511543357	 -nan             	 -nan             	 0.9999999999999999	 -nan             	 -nan             	 0.07085642344707571	 -nan             	 -nan             	 0.9999999987910597	 -nan             	 -nan             	 0.07085642158970666	 -nan             	 -nan             	 0.9999999957862915	 -nan             	 -nan             	 0.07085641946031797	 -nan             	 -nan             	 -0.9999999886168686	 -nan             	 -nan             	 -0.0708564289067517	 -nan             	 -nan             	 5.162200258762388e-06	 -7.106638722438758e-06	 -5.056573236348324e-06	 -2.015474769081987e-05	 1.104684139946839e-05	 -2.272360860529474e-05	 -2.378397254507382e-06	 -2.808936987164939e-05	 1.499210735581938e-07	 2.502510141505225e-05	 1.512039098765627e-05	 3.020189690760188e-05	 2.691951231193215e-05	 -4.1754587914751e-05	 -3.865269603975702e-05	 4.690736663984345e-06	 3.625366139740138e-05
	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             
	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             
	 -0.04131138032263997	 -nan             	 -nan             	 0.9999999993314274	 -nan             	 -nan             	 -0.04131138124596353	 -nan             	 -nan             	 0.9999999996919896	 -nan             	 -nan             	 -0.04131138218518708	 -nan             	 -nan             	 1                	 -nan             	 -nan             	 -0.04131138258815469	 -nan             	 -nan             	 0.9999999997711062	 -nan             	 -nan             	 -0.04131138253701285	 -nan             	 -nan             	 0.9999999983307316	 -nan             	 -nan             	 0.04131137479585266	 -nan             	 -nan             	 -0.9999999980542363	 -nan             	 -nan             	 -3.941595149472968e-07	 1.474928489270232e-06	 5.068073131628893e-06	 1.274914287958347e-05	 -3.321986401046371e-06	 8.652181221563822e-06	 -8.563648540675441e-08	 1.177422928352098e-05	 2.375280705520623e-06	 -1.130360677682051e-05	 -6.67451582878734e-06	 -1.478766292601794e-05	 -1.304046305661608e-05	 1.952256146001272e-05	 1.685152213014307e-05	 -6.900383578446065e-07	 -1.70734029598678e-05
	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             
	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             
	 0.9999999912271083	 -nan             	 -nan             	 0.07085642644926013	 -nan             	 -nan             	 0.9999999949080309	 -nan             	 -nan             	 0.07085642515976603	 -nan             	 -nan             	 0.999999998145411	 -nan             	 -nan             	 0.07085642307978901	 -nan             	 -nan             	 1                	 -nan             	 -nan             	 0.07085641986235813	 -nan             	 -nan             	 0.9999999982693648	 -nan             	 -nan             	 0.07085641668774317	 -nan             	 -nan             	 -0.9999999873514605	 -nan             	 -nan             	 -0.07085642838205591	 -nan             	 -nan             	 4.147297262097755e-05	 -4.450494063425103e-05	 -2.913625530030771e-05	 3.211177440878216e-06	 -5.492150911792476e-06	 -1.656974293189887e-05	 -1.820898502544626e-05	 -1.527465813675861e-05	 1.024610237513674e-06	 3.715654893528964e-05	 3.328293124352514e-05	 4.219351120608539e-05	 3.577203817561297e-05	 -6.223083443407798e-05	 -4.388073749223389e-05	 3.952546145024395e-05	 5.570513670109355e-05
	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             
	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             
