631152000       , -197429969152.161, -132172973046.662, 2040636646.37139, 14476.820392683 , -17993.3832638302, -732.124021640995
631155600       , -197377852597.998, -132237749228.013, 2038000999.89134, 14476.8208089964, -17993.3841534897, -732.124022831954
631159200       , -197325736042.336, -132302525412.567, 2035365353.40701, 14476.8212254034, -17993.3850432973, -732.124024020735
631162800       , -197273619485.175, -132367301600.325, 2032729706.9184 , 14476.8216419041, -17993.3859332532, -732.124025207335
631166400       , -197221502926.514, -132432077791.287, 2030094060.42552, 14476.8220584984, -17993.3868233573, -732.124026391753
631170000       , -197169386366.354, -132496853985.453, 2027458413.92838, 14476.8224751864, -17993.3877136098, -732.124027573987
631173600       , -197117269804.693, -132561630182.825, 2024822767.42699, 14476.822891968 , -17993.3886040106, -732.124028754036
631177200       , -197065153241.531, -132626406383.402, 2022187120.92135, 14476.8233088434, -17993.3894945598, -732.124029931898
631180800       , -197013036676.869, -132691182587.186, 2019551474.41148, 14476.8237258126, -17993.3903852574, -732.124031107572
631184400       , -196960920110.705, -132755958794.176, 2016915827.89738, 14476.8241428755, -17993.3912761036, -732.124032281056
631188000       , -196908803543.04, -132820735004.374, 2014280181.37906, 14476.8245600322, -17993.3921670984, -732.124033452349
631191600       , -196856686973.873, -132885511217.78, 2011644534.85653, 14476.8249772828, -17993.3930582417, -732.124034621448
631195200       , -196804570403.204, -132950287434.394, 2009008888.32979, 14476.8253946271, -17993.3939495337, -732.124035788352
631198800       , -196752453831.032, -133015063654.217, 2006373241.79885, 14476.8258120653, -17993.3948409744, -732.12403695306
631202400       , -196700337257.357, -133079839877.249, 2003737595.26373, 14476.8262295974, -17993.3957325639, -732.124038115571
631206000       , -196648220682.178, -133144616103.491, 2001101948.72442, 14476.8266472234, -17993.3966243022, -732.124039275881
631209600       , -196596104105.496, -133209392332.944, 1998466302.18094, 14476.8270649433, -17993.3975161894, -732.124040433991
631213200       , -196543987527.311, -133274168565.608, 1995830655.6333 , 14476.8274827572, -17993.3984082254, -732.124041589898
631216800       , -196491870947.621, -133338944801.483, 1993195009.0815 , 14476.827900665 , -17993.3993004105, -732.124042743601
631220400       , -196439754366.426, -133403721040.571, 1990559362.52555, 14476.8283186669, -17993.4001927445, -732.124043895098
631224000       , -196387637783.726, -133468497282.871, 1987923715.96546, 14476.8287367627, -17993.4010852276, -732.124045044387
631227600       , -196335521199.521, -133533273528.385, 1985288069.40123, 14476.8291549526, -17993.4019778599, -732.124046191468
631231200       , -196283404613.81, -133598049777.112, 1982652422.83288, 14476.8295732365, -17993.4028706413, -732.124047336338
631234800       , -196231288026.594, -133662826029.054, 1980016776.26041, 14476.8299916146, -17993.4037635719, -732.124048478997
631238400       , -196179171437.871, -133727602284.21, 1977381129.68383, 14476.8304100867, -17993.4046566518, -732.124049619441
631242000       , -196127054847.641, -133792378542.582, 1974745483.10316, 14476.8308286529, -17993.4055498811, -732.12405075767
631245600       , -196074938255.904, -133857154804.169, 1972109836.51838, 14476.8312473134, -17993.4064432596, -732.124051893682
631249200       , -196022821662.66, -133921931068.973, 1969474189.92952, 14476.8316660679, -17993.4073367877, -732.124053027476
631252800       , -195970705067.908, -133986707336.994, 1966838543.33659, 14476.8320849167, -17993.4082304652, -732.12405415905
631256400       , -195918588471.649, -134051483608.233, 1964202896.73958, 14476.8325038597, -17993.4091242922, -732.124055288403
631260000       , -195866471873.88, -134116259882.69, 1961567250.13851, 14476.8329228969, -17993.4100182688, -732.124056415532
631263600       , -195814355274.604, -134181036160.365, 1958931603.53339, 14476.8333420284, -17993.410912395, -732.124057540437
631267200       , -195762238673.818, -134245812441.259, 1956295956.92422, 14476.8337612542, -17993.4118066709, -732.124058663115
631270800       , -195710122071.522, -134310588725.373, 1953660310.31102, 14476.8341805743, -17993.4127010966, -732.124059783566
631274400       , -195658005467.717, -134375365012.707, 1951024663.69379, 14476.8345999888, -17993.413595672, -732.124060901787
631278000       , -195605888862.402, -134440141303.262, 1948389017.07253, 14476.8350194976, -17993.4144903973, -732.124062017777
631281600       , -195553772255.577, -134504917597.038, 1945753370.44726, 14476.8354391007, -17993.4153852724, -732.124063131535
631285200       , -195501655647.241, -134569693894.036, 1943117723.81799, 14476.8358587983, -17993.4162802975, -732.124064243059
631288800       , -195449539037.394, -134634470194.256, 1940482077.18471, 14476.8362785903, -17993.4171754726, -732.124065352347
631292400       , -195397422426.035, -134699246497.7 , 1937846430.54745, 14476.8366984767, -17993.4180707977, -732.124066459398
631296000       , -195345305813.164, -134764022804.366, 1935210783.90621, 14476.8371184577, -17993.418966273, -732.12406756421
631299600       , -195293189198.782, -134828799114.257, 1932575137.26099, 14476.8375385331, -17993.4198618983, -732.124068666781
631303200       , -195241072582.887, -134893575427.372, 1929939490.61181, 14476.837958703 , -17993.4207576739, -732.124069767111
631306800       , -195188955965.479, -134958351743.712, 1927303843.95867, 14476.8383789675, -17993.4216535997, -732.124070865197
631310400       , -195136839346.558, -135023128063.278, 1924668197.30158, 14476.8387993265, -17993.4225496758, -732.124071961039
631314000       , -195084722726.124, -135087904386.07, 1922032550.64055, 14476.8392197802, -17993.4234459023, -732.124073054633
631317600       , -195032606104.176, -135152680712.089, 1919396903.97559, 14476.8396403284, -17993.4243422792, -732.12407414598
631321200       , -194980489480.713, -135217457041.335, 1916761257.30671, 14476.8400609713, -17993.4252388065, -732.124075235076
631324800       , -194928372855.736, -135282233373.809, 1914125610.6339 , 14476.8404817088, -17993.4261354843, -732.124076321922
