631152000       , -26343650040.6947, 145805089818.955, -38442285.3256539, -29672.236124663, -4471.3216207918, -24.6644702745991
631155600       , -26450485669.1994, 145788995259.09 , -38529679.3455607, -29680.8923272064, -4470.113020383 , -23.8874615138165
631159200       , -26557352475.9503, 145772904915.223, -38614272.9081202, -29689.5572794345, -4468.97940717861, -23.1086690665065
631162800       , -26664250491.441, 145756818517.323, -38696059.6831073, -29698.2304229946, -4467.92082368429, -22.3281435165541
631166400       , -26771179744.1557, 145740735795.209, -38775033.5224264, -29706.9111997368, -4466.93730981222, -21.5459354632095
631170000       , -26878140260.5694, 145724656478.563, -38851188.460169, -29715.5990516968, -4466.0289028902, -20.762095522625
631173600       , -26985132065.1488, 145708580296.938, -38924518.7126777, -29724.2934210767, -4465.19563767006, -19.9766743294126
631177200       , -27092155180.3529, 145692506979.763, -38995018.678615, -29732.9937502274, -4464.43754633532, -19.1897225382226
631180800       , -27199209626.6332, 145676436256.359, -39062682.9390388, -29741.6994816298, -4463.7546585082, -18.4012908253419
631184400       , -27306295422.4345, 145660367855.945, -39127506.2574831, -29750.4100578763, -4463.14700125581, -17.6114298903098
631188000       , -27413412584.195, 145644301507.644, -39189483.5800442, -29759.1249216523, -4462.61459909577, -16.8201904575525
631191600       , -27520561126.3467, 145628236940.498, -39248610.0354739, -29767.8435157174, -4462.15747400094, -16.0276232780338
631195200       , -27627741061.3159, 145612173883.475, -39304880.9352777, -29776.5652828865, -4461.77564540357, -15.2337791309214
631198800       , -27734952399.5227, 145596112065.475, -39358291.7738193, -29785.2896660112, -4461.46913019868, -14.4387088252684
631202400       , -27842195149.3818, 145580051215.344, -39408838.2284314, -29794.0161079608, -4461.23794274671, -13.6424632017086
631206000       , -27949469317.302, 145563991061.879, -39456516.1595323, -29802.7440516034, -4461.08209487547, -12.8450931341639
631209600       , -28056774907.6868, 145547931333.841, -39501321.610749, -29811.4729397866, -4461.00159588137, -12.0466495315653
631213200       , -28164111922.9333, 145531871759.962, -39543250.8090462, -29820.2022153194, -4460.99645252993, -11.2471833395836
631216800       , -28271480363.4332, 145515812068.951, -39582300.1648618, -29828.931320952, -4461.06666905554, -10.4467455423707
631220400       , -28378880227.5715, 145499751989.51 , -39618466.2722485, -29837.659699358, -4461.21224716059, -9.64538716431065
631224000       , -28486311511.727, 145483691250.338, -39651745.9090219, -29846.3867931147, -4461.43318601377, -8.84315927177794
631227600       , -28593774210.2713, 145467629580.141, -39682136.0369148, -29855.1120446843, -4461.72948224772, -8.04011297490415
631231200       , -28701268315.5689, 145451566707.644, -39709633.8017377, -29863.8348963952, -4462.10112995594, -7.23629942935048
631234800       , -28808793817.9761, 145435502361.594, -39734236.5335464, -29872.5547904228, -4462.54812068898, -6.43176983808592
631238400       , -28916350705.8411, 145419436270.776, -39755941.7468149, -29881.271168771, -4463.07044344993, -5.62657545316995
631242000       , -29023938965.5026, 145403368164.018, -39774747.1406158, -29889.9834732533, -4463.66808468915, -4.82076757753892
631245600       , -29131558581.2898, 145387297770.203, -39790650.5988067, -29898.6911454741, -4464.34102829834, -4.01439756679509
631249200       , -29239209535.521, 145371224818.274, -39803650.1902227, -29907.3936268101, -4465.08925560381, -3.20751683099734
631252800       , -29346891808.5031, 145355149037.247, -39813744.1688756, -29916.0903583919, -4465.9127453591, -2.40017683645277
631256400       , -29454605378.5307, 145339070156.22 , -39820930.9741602, -29924.7807810855, -4466.81147373687, -1.59242910750803
631260000       , -29562350221.8849, 145322987904.381, -39825209.231066, -29933.464335474, -4467.78541432003, -0.784325228339629
631263600       , -29670126312.8325, 145306902011.017, -39826577.7503957, -29942.1404618397, -4468.83453809221, 0.0240831552579319
631267200       , -29777933623.6245, 145290812205.525, -39825035.5289908, -29950.8086001456, -4469.95881342745, 0.832744334086901
631270800       , -29885772124.4954, 145274718217.419, -39820581.7499625, -29959.4681900181, -4471.15820607921, 1.64160653376528
631274400       , -29993641783.6616, 145258619776.344, -39813215.7829297, -29968.1186707287, -4472.43267916867, 2.45061791295053
631278000       , -30101542567.3203, 145242516612.08 , -39802937.1842636, -29976.7594811769, -4473.78219317226, 3.2597265615694 
631281600       , -30209474439.6479, 145226408454.554, -39789745.6973376, -29985.3900598728, -4475.20670590856, 4.06888049905473
631285200       , -30317437362.7989, 145210295033.852, -39773641.2527852, -29994.0098449194, -4476.70617252437, 4.87802767258998
631288800       , -30425431296.9041, 145194176080.224, -39754623.9687622, -30002.6182739965, -4478.28054548015, 5.68711595536304
631292400       , -30533456200.0692, 145178051324.097, -39732694.151217, -30011.214784343, -4479.92977453472, 6.49609314482961
631296000       , -30641512028.373, 145161920496.083, -39707852.2941661, -30019.798812741, -4481.65380672925, 7.30490696098775
631299600       , -30749598735.8661, 145145783326.991, -39680099.0799759, -30028.3697954994, -4483.45258637047, 8.11350504466437
631303200       , -30857716274.5688, 145129639547.834, -39649435.3796507, -30036.9271684375, -4485.32605501328, 8.92183495581454
631306800       , -30965864594.4694, 145113488889.841, -39615862.2531275, -30045.4703668694, -4487.27415144254, 9.72984417183502
631310400       , -31074043643.5225, 145097331084.467, -39579380.9495755, -30053.9988255885, -4489.29681165423, 10.5374800858928
631314000       , -31182253367.647, 145081165863.4  , -39539992.9077025, -30062.5119788523, -4491.39396883581, 11.3446900052698
631317600       , -31290493710.7241, 145064992958.578, -39497699.7560675, -30071.009260367, -4493.56555334593, 12.1514211497244
631321200       , -31398764614.5953, 145048812102.19 , -39452503.313398, -30079.4901032734, -4495.81149269343, 12.957620649872 
